created_at,subject,label,source_ambient,target_ambient,source_trial,target_trial,source_file,target_file,rows,max_jitter,method
2026-06-25T01:40:54,yja,bed_exit_failed,aircon,quiet,t023,t005,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t023.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t005.csv,984,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:57,yja,bed_exit_failed,tv,quiet,t040,t006,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t040.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t006.csv,971,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:40:59,yja,bed_exit_failed,aircon,quiet,t024,t007,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t024.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t007.csv,985,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:41:01,yja,bed_exit_failed,tv,quiet,t041,t008,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t041.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t008.csv,980,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:41:04,yja,bed_exit_failed,aircon,quiet,t025,t009,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t025.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t009.csv,980,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:41:06,yja,bed_exit_failed,tv,quiet,t042,t010,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t042.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t010.csv,979,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:41:09,yja,bed_exit_failed,aircon,quiet,t026,t011,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t026.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t011.csv,985,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:41:12,yja,bed_exit_failed,tv,quiet,t043,t012,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t043.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t012.csv,986,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:41:14,yja,bed_exit_failed,aircon,quiet,t027,t013,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t027.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t013.csv,990,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:41:16,yja,bed_exit_failed,tv,quiet,t044,t014,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t044.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t014.csv,980,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:41:18,yja,bed_exit_failed,aircon,quiet,t028,t015,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t028.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t015.csv,984,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:41:20,yja,bed_exit_failed,tv,quiet,t045,t016,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t045.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t016.csv,984,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:41:22,yja,bed_exit_failed,aircon,quiet,t029,t017,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t029.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t017.csv,980,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:41:24,yja,bed_exit_failed,tv,quiet,t046,t018,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t046.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t018.csv,990,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:41:26,yja,bed_exit_failed,aircon,quiet,t030,t019,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t030.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t019.csv,985,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
2026-06-25T01:41:29,yja,bed_exit_failed,tv,quiet,t047,t020,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t047.csv,data/warning/bed_exit/bed_exit_failed/yja/yja_bed_exit_failed_t020.csv,984,1,collected_aircon_tv_rows_with_small_csi_jitter_to_quiet
